thrust_coefficient,power_coefficient,blade_pitch,blade_section_loadings
0.7495315418733429,0.3927297015391862,3.925619325446713,"     axial_induction  ...  blade_tangential_force
0           0.648787  ...               74.939193
1           0.562969  ...              145.748496
2           0.516883  ...              190.745974
3           0.483965  ...              225.197884
4           0.458377  ...              251.350219
..               ...  ...                     ...
195         0.470384  ...              247.070798
196         0.508815  ...              219.017743
197         0.564907  ...              180.191103
198         0.659359  ...              121.093192
199         0.886148  ...                8.866595

[200 rows x 6 columns]"
0.7495315418726209,0.3927297013989804,3.925619329396091,"     axial_induction  ...  blade_tangential_force
0           0.648787  ...               74.939193
1           0.562969  ...              145.748496
2           0.516883  ...              190.745974
3           0.483965  ...              225.197884
4           0.458377  ...              251.350219
..               ...  ...                     ...
195         0.470384  ...              247.070798
196         0.508815  ...              219.017743
197         0.564907  ...              180.191103
198         0.659359  ...              121.093192
199         0.886148  ...                8.866595

[200 rows x 6 columns]"
0.7495315418618359,0.3927297000748229,3.9256193686012724,"     axial_induction  ...  blade_tangential_force
0           0.648787  ...               74.939194
1           0.562969  ...              145.748496
2           0.516883  ...              190.745974
3           0.483965  ...              225.197884
4           0.458377  ...              251.350219
..               ...  ...                     ...
195         0.470384  ...              247.070798
196         0.508815  ...              219.017742
197         0.564907  ...              180.191102
198         0.659359  ...              121.093192
199         0.886148  ...                8.866594

[200 rows x 6 columns]"
0.749531541890571,0.3927297025019902,3.925619271103765,"     axial_induction  ...  blade_tangential_force
0           0.648787  ...               74.939193
1           0.562969  ...              145.748496
2           0.516883  ...              190.745974
3           0.483965  ...              225.197883
4           0.458377  ...              251.350219
..               ...  ...                     ...
195         0.470384  ...              247.070798
196         0.508815  ...              219.017743
197         0.564907  ...              180.191103
198         0.659359  ...              121.093193
199         0.886148  ...                8.866596

[200 rows x 6 columns]"
0.7495315419535679,0.39272970640442245,3.9256190442803773,"     axial_induction  ...  blade_tangential_force
0           0.648787  ...               74.939193
1           0.562969  ...              145.748496
2           0.516883  ...              190.745974
3           0.483965  ...              225.197883
4           0.458377  ...              251.350219
..               ...  ...                     ...
195         0.470384  ...              247.070797
196         0.508815  ...              219.017741
197         0.564907  ...              180.191100
198         0.659359  ...              121.093190
199         0.886148  ...                8.866593

[200 rows x 6 columns]"
0.7495315418983075,0.39272970250518646,3.9256192735861304,"     axial_induction  ...  blade_tangential_force
0           0.648787  ...               74.939193
1           0.562969  ...              145.748496
2           0.516883  ...              190.745974
3           0.483965  ...              225.197883
4           0.458377  ...              251.350219
..               ...  ...                     ...
195         0.470384  ...              247.070798
196         0.508815  ...              219.017743
197         0.564907  ...              180.191103
198         0.659359  ...              121.093193
199         0.886148  ...                8.866596

[200 rows x 6 columns]"
0.7456247121210929,0.3979488963495958,3.5282390259110312,"     axial_induction  ...  blade_tangential_force
0           0.640777  ...               76.822367
1           0.556962  ...              146.551181
2           0.511554  ...              191.570713
3           0.479654  ...              224.848647
4           0.454606  ...              251.909820
..               ...  ...                     ...
195         0.471260  ...              246.097460
196         0.509025  ...              217.824383
197         0.564348  ...              179.121270
198         0.657604  ...              120.228880
199         0.879586  ...                9.839849

[200 rows x 6 columns]"
0.7456247121278812,0.3979488962105098,3.528239030064599,"     axial_induction  ...  blade_tangential_force
0           0.640777  ...               76.822367
1           0.556962  ...              146.551181
2           0.511554  ...              191.570713
3           0.479654  ...              224.848647
4           0.454606  ...              251.909820
..               ...  ...                     ...
195         0.471260  ...              246.097460
196         0.509025  ...              217.824383
197         0.564348  ...              179.121270
198         0.657604  ...              120.228880
199         0.879586  ...                9.839848

[200 rows x 6 columns]"
0.7456247121050797,0.39794889488640234,3.528239069335623,"     axial_induction  ...  blade_tangential_force
0           0.640777  ...               76.822367
1           0.556962  ...              146.551181
2           0.511554  ...              191.570713
3           0.479654  ...              224.848647
4           0.454606  ...              251.909820
..               ...  ...                     ...
195         0.471260  ...              246.097460
196         0.509025  ...              217.824383
197         0.564348  ...              179.121270
198         0.657604  ...              120.228879
199         0.879586  ...                9.839848

[200 rows x 6 columns]"
0.7456247123568797,0.39794889729050736,3.528238978909755,"     axial_induction  ...  blade_tangential_force
0           0.640777  ...               76.822366
1           0.556962  ...              146.551181
2           0.511554  ...              191.570713
3           0.479654  ...              224.848647
4           0.454606  ...              251.909820
..               ...  ...                     ...
195         0.471260  ...              246.097460
196         0.509025  ...              217.824383
197         0.564348  ...              179.121270
198         0.657604  ...              120.228880
199         0.879586  ...                9.839849

[200 rows x 6 columns]"
0.7456247131310781,0.3979489009632382,3.5282387863802,"     axial_induction  ...  blade_tangential_force
0           0.640777  ...               76.822366
1           0.556962  ...              146.551182
2           0.511554  ...              191.570713
3           0.479654  ...              224.848647
4           0.454606  ...              251.909819
..               ...  ...                     ...
195         0.471260  ...              246.097459
196         0.509025  ...              217.824381
197         0.564348  ...              179.121268
198         0.657604  ...              120.228877
199         0.879586  ...                9.839847

[200 rows x 6 columns]"
